수집날짜,발행날짜,키워드매칭,기사제목,링크,출처,미디어타입,비고
2026-04-02,2026-04-02,섬유,"KTDI-LG전자, ‘항균섬유 공동연구 착수’ - TIN뉴스",https://news.google.com/rss/articles/CBMiREFVX3lxTE4tNTJ6R2l3Tk15eTZ2T2UtanVGVDhsVVExVVpsbWo2cklBdDlIRllKOHl1eDI4SllhbTdOa1czMXk3S3Jl?oc=5,TIN뉴스,주간지,
2026-04-02,2026-04-02,섬유,"[현장] 한솔섬유 ‘뚜오미오’, 산리오캐릭터즈 협업 팝업스토어 흥행 가도",https://tnnews.co.kr/archives/274745,테넌트뉴스,주간지,
2026-04-02,2026-04-02,아웃도어,"아웃도어 업계, 선수 마케팅으로 정체성 강화… 노스페이스 ‘포스트 클라이밍’ 선점",https://tnnews.co.kr/archives/274760,테넌트뉴스,주간지,
2026-04-02,2026-04-01,섬유,중동 악재에도 섬유수출 ‘선방’ - TIN뉴스,https://news.google.com/rss/articles/CBMiREFVX3lxTFBFcHEwdXhOUmhqN004bW9zdmhPTEp1WThwNUlXQVNHQ25XYV9FNmdrMlJSX2x6OF9OZW1wcmNLd3llZEY3?oc=5,TIN뉴스,주간지,
2026-04-02,2026-04-01,섬유,"한국섬유소재연구원, 제8대 이사장에 신일호 대표 선임 - 패션저널",https://news.google.com/rss/articles/CBMibEFVX3lxTFBVVlFEYUZxbTRfVzNlLUdLXy16dG9GZGwwSFI4dWQ0dENuWjMwYXVON2MtYUZfWDB3M3doaWxZM3BXSjUxMHkybXFwWDZFOGRXQzhtVTlFdXBBNU9MLTI3M24yX1pwbHRJT3RPRA?oc=5,패션저널,주간지,
2026-04-02,2026-04-01,섬유,[섬유] - 한국섬유신문,https://news.google.com/rss/articles/CBMie0FVX3lxTFAzU1V2dXhDM1FBWWxMSEV1THdoZ052YlVyVWJqN1FpWkZ6REh1Z19yQ05rbVdhdjR2RTU1OWNGLUZJMEpDSU9DMkFWd2xyajMxSlJNZ3JpRjRDb0JQdEhYVzI5a3NEcDdjc1pZanY4akx0U2ctNjFmZlFYbw?oc=5,한국섬유신문,주간지,
2026-04-02,2026-04-01,패션,"패션협회, ‘패션AI얼라이언스 간담회’ - TIN뉴스",https://news.google.com/rss/articles/CBMiREFVX3lxTFAtN0Zxdjl3ZDBlNXAxaW1IQzhMQkhxbFFrOGJlOTE0QUx3Ti16d2pYT1VYbVg4UVJMTERWaS1NMEJLOWJu?oc=5,TIN뉴스,주간지,
2026-04-02,2026-04-01,패션,2016 S/S 서울패션위크 개막 - 패션저널,https://news.google.com/rss/articles/CBMigAFBVV95cUxPejRpdEN4OS00QS1MNVBTZmJvMHBEMjlYbFg5dVVNRVFKRS1iaDNWcWtWX1FnVmo4bExOTXhrNlZaTFJfdWo2YW9uandZS2dTX25oVkMwOWhHOGdsOEJsR05Xd2lfTjBFajhLa0FiTnF3bFZFVlNqQm9rd3IxWWk5VA?oc=5,패션저널,주간지,
2026-04-02,2026-04-01,패션,"파렌+지지오티티, 꽃 모티브 감성 담은 협업 컬렉션 공개 - 패션저널",https://news.google.com/rss/articles/CBMibEFVX3lxTFBlMV9lTXhLc3NFNUN3blgtUUNaZmdidXRwaUhtekpCenBNSlpNTG5JcTR4NUtyTUhmTTM1V2ZKOHFUS01GRVFlTkVGTVU0NmdHQTVPZG9zRU9xNTVKSlVoVXF4c2lKQkhEOGhDag?oc=5,패션저널,주간지,
