수집날짜,발행날짜,키워드매칭,기사제목,링크,출처,미디어타입,비고
2026-04-02,2026-04-02,유가,"""국제유가, 조기 종전해도 이전 수준 회복 어렵다"" - 서울와이어",https://news.google.com/rss/articles/CBMibEFVX3lxTFAydVh3OWpuQ2pZaGhHcmtFdjJveC0wc2hYelllcXdhRHVxTFJUTkVETlJkdjlHMXk1cmk5UjVoVmZ3ZnNGdHVTOEJvV1RCWlAxWE5Xa1U3eW83Q2VLcllZYWhtRkYxZWZadHNsUg?oc=5,서울와이어,Portal,
2026-04-02,2026-04-02,유가,국제유가·노란봉투법' 이중 압박… 택배업계 위기감 고조 - 서울와이어,https://news.google.com/rss/articles/CBMibEFVX3lxTE9HSmtIM2pHWjRpVzhGWDdVN2tzM2Z4d3RnN2J0UEVtakNnT3YyVUV2RktPcGkwWDRDQjM3aUp6YUo1V0tyNjNFcDVzSEdWRnpHLXJaaEY2di1HajFBMGFfemlsal9vUDBLQzhJbw?oc=5,서울와이어,Portal,
2026-04-02,2026-04-02,유가,"월가 거물 켄 피셔, 유가 등 에너지 쇼크 속 증시 낙관론 펴 왜? - 서울와이어",https://news.google.com/rss/articles/CBMibEFVX3lxTFBybjZwYWJCak5RVEVJWkZnd1UyRWppeS1VRVppR2Y1T0hOR29SazgzMG10YVFLTXM4OWhEdDdUa2VLNHRIWU9BcDh2UUI2bVlRX1pjZ0xaNzBKdW9zZXlTX1JHeDJRU2RvejJTbA?oc=5,서울와이어,Portal,
2026-04-02,2026-04-02,최저임금,‘서울영커리언스 인턴십’ 대학생 학업·실무 병행 모델 안착,https://www.mk.co.kr/article/12004724,네이버 뉴스,Portal,
2026-04-02,2026-04-02,최저임금,시즌마다 전국으로 나가는 농산물 박스 전문기업 - 세영패키지 곽일남 ...,https://www.handmk.com/news/articleView.html?idxno=36872,네이버 뉴스,Portal,
2026-04-02,2026-04-02,최저임금,울산 노동·문화단체 김종훈 울산시장 후보 지지,https://www.iusm.co.kr/news/articleView.html?idxno=1061285,네이버 뉴스,Portal,
2026-04-02,2026-04-02,프리뷰,"[2일 프리뷰] KT, 한화전 싹쓸이하고 개막 5연승 질주할까 - osen.co.kr",https://news.google.com/rss/articles/CBMiU0FVX3lxTE4wMzVBTk1IZC03NWZhWF9jOGNsMDFvVnpNT254ejAtLU0xbHJOSFRiRjhyOGp2NXp5QkJvUDdyX0xzSS1sd1A2MkRLbmw3Ukd2aERn?oc=5,osen.co.kr,Portal,
2026-04-02,2026-04-02,프리뷰,"[2일 프리뷰] ‘6주 대체’ NC 버하겐 첫 등판, 낙동강더비 스윕 도전 - osen.co.kr",https://news.google.com/rss/articles/CBMiU0FVX3lxTE1QcHRaZFowbk9aVzF3REM5WUY4d1NSSmRReXhIaXlRSE9EUnAxN2l1QlNDalBaYmwwenRySEFaeFYxSDQyUXo5YmJqa2I4em9MbHpV?oc=5,osen.co.kr,Portal,
2026-04-02,2026-04-02,프리뷰,"[2일 프리뷰] 아쿼 웰스-2년차 김태형, 누가 위닝 이끌까 - osen.co.kr",https://news.google.com/rss/articles/CBMiU0FVX3lxTFB6QldmSkdOY2ozRDVPOUNQUUhxVXhtNFJRcXF2a3B4T0dpcXZFN2s2c1lhcEtpUEN6eGRteFR3N1ZkSVl1WEw2LW5oa3BKYXhYVUhj?oc=5,osen.co.kr,Portal,
2026-04-02,2026-04-02,프리뷰,"[2일 프리뷰] 최민준 vs 정현우, 5선발 맞대결…위닝시리즈 주인공은? - osen.co.kr",https://news.google.com/rss/articles/CBMiU0FVX3lxTE9FX3M2VkFDcUlqSGx1X1UzWTJEcThtRXFnSjNXeHZzY2lUSDI0R3l3a0podXJvTUxPdDNQNS16TUNKbGdMUlI1QjNIMnM3elJoa3F3?oc=5,osen.co.kr,Portal,
